name,description,url,type
France (AMF),"Act No. 2019-486 of May 22, 2019 (PACTE – Action Plan for Business Growth and Transformation) -",https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000038496102&categorieLien=id,regulatory
France (AMF),"Speech by Robert Ophele, AMF Chairman – “Innovation and regulation: The French approach to crypto” – 3rd Annual Fintech Conference – Brussels – 26 February 2019",https://www.amf-france.org/en_US/Actualites/Prises-de-paroles/Archives/Annee-2016?xtcr=4&isSearch=true&docId=workspace%3A%2F%2FSpacesStore%2F21e89c29-562d-4b73-b72f-bc4aacd524aa&lastSearchPage=https%3A%2F%2Fwww.amf-france.org%2FmagnoliaPublic%2Famf%2Fen_US%2FResultat-de-recherche%3FPAGE_NUMBER%3D1%26LANGUAGE%3Den%26valid_recherche%3DOK%26isSearch%3Dtrue%26simpleSearch%3Dtrue%26TEXT%3Dcrypto%26&xtmc=crypto&docVersion=1.0,regulatory
Gibraltar (GFSC),HM Government of Gibraltar and the Gibraltar Financial Services Commission announce plans for token legislation,http://www.gfsc.gi/news/hm-government-of-gibraltar-and-the-gibraltar-financial-services-commission-announce-plans-for-token-legislation-272,regulatory
Israel (ISA),The Committee to Examine the Regulation of Decentralized Cryptographic Currency Issuance to the Public,http://www.isa.gov.il/sites/ISAEng/1489/1513/Documents/FinalCryptoReportENG.pdf,regulatory
Italy (CONSOB),Initial Coin Offerings and Crypto-Assets Exchanges – Call for evidence,http://www.consob.it/documents/46180/46181/doc_disc_20190319_en.pdf/e981f8a9-e370-4456-8f67-111e460610f0,regulatory
Japan (FSA),Report from Study Group on Virtual Currency Exchange Services,https://www.fsa.go.jp/en/refer/councils/virtual-currency/20181221-1.pdf,regulatory
Japan (FSA),Summary of Report from Study Group on Virtual Currency Exchange Services,https://www.fsa.go.jp/en/refer/councils/virtual-currency/20181221-2.pdf,regulatory
Japan (FSA),Amended Act on the Settlement of Funds and the Financial Instruments and Exchange Act,https://www.fsa.go.jp/common/diet/index.html,regulatory
Jersey (JFSC),Press release: JFSC issues ICO guidance note -,https://www.jerseyfsc.org/media/2003/2018-07-12_jfsc-issues-ico-guidance-note.pdf,regulatory
Jersey (JFSC),Guidance Note: Application Process for Issuers of Initial Coin Offerings (ICOs) -,https://www.jerseyfsc.org/media/1999/gn-ico-july-2018.pdf,regulatory
Macau (AMCM),Alert to Risks of Virtual Commodities and Tokens -,https://www.amcm.gov.mo/files/press_releases/gap/2017/20170927_e_ae_a_a_a_ae_a_ae_e_e_aae_c_o_english.pdf,regulatory
Malaysia (SC),SC to Regulate Offering and Trading of Digital Assets -,https://www.sc.com.my/resources/media-releases-and-announcements/sc-to-regulate-offering-and-trading-of-digital-assets,regulatory
Malaysia (SC),Capital Markets and Services (Prescription of Securities) (Digital Currency and Digital Token) Order 2019,https://www.sc.com.my/api/documentms/download.ashx?id=d3067bf4-ba39-4bce-8dc4-1b660ff37977,regulatory
Malaysia (SC),Public Consultation paper No. 1/2019: Proposed Regulatory Framework for the Issuance of Digital Assets Through Initial Coin Offerings (ICOs),https://www.sc.com.my/api/documentms/download.ashx?id=d3067bf4-ba39-4bce-8dc4-1b660ff37977,regulatory
Malta (MFSA),Virtual Financial Assets Act,http://www.justiceservices.gov.mt/DownloadDocument.aspx?app=lom&itemid=12872&l=1,regulatory
Malta (MFSA),Feedback Statement Issued Further to Industry Responses to the MFSA Consultation Paper on the Virtual Financial Assets Regulations to Be Issued Under the Virtual Financial Assets Act,https://www.mfsa.mt/wp-content/uploads/2018/12/20181024_LNFeedbackStatement.pdf,regulatory
Malta (MFSA),Virtual Financial Assets Regulations,http://justiceservices.gov.mt/DownloadDocument.aspx?app=lp&itemid=29337&l=1,regulatory
Malta (MFSA),Virtual Financial Assets Rulebook (Chapter 1): Virtual Financial Assets Rules for VFA Agents -,https://www.mfsa.mt/wp-content/uploads/2019/02/VFAR_Chapter1_FINAL.pdf,regulatory
Malta (MFSA),Virtual Financial Assets Rulebook (Chapter 2): Virtual Financial Assets Rules for Issuers of VFAs,https://www.mfsa.mt/wp-content/uploads/2019/02/VFAR_Chapter2_FINAL.pdf,regulatory
Malta (MFSA),Virtual Financial Assets Framework Frequently Asked Questions,https://www.mfsa.mt/wp-content/uploads/2019/01/20190125_VFARFAQs_v1.01.pdf,regulatory
Malta (MFSA),Financial Instrument Test: Guidelines -,https://www.mfsa.mt/wp-content/uploads/2019/05/VFAG_FITest_1.02.pdf,regulatory
Malta (MFSA),Guidance Notes on Cybersecurity,https://www.mfsa.mt/wp-content/uploads/2019/06/Cybersecurity-Guidance-Notes.pdf,regulatory
Netherlands (AFM),The AFM and DNB recommend regulation of cryptos at an international level,https://www.afm.nl/en/nieuws/2019/jan/adviesrapport-crypto,regulatory
Netherlands (AFM),Recommendations for a regulatory framework,https://www.afm.nl/~/profmedia/files/rapporten/2019/adviesrapport-crypto-eng.pdf,regulatory
Republic of Korea (FSC),Prohibition of All Forms of ICOs –,http://www.fsc.go.kr/downManager?bbsid=BBS0030&no=120329,regulatory
Republic of Korea (FSC),ICO Survey Results and Future Response,http://www.fsc.go.kr/downManager?bbsid=BBS0030&no=133877,regulatory
Republic of Serbia (SC),Consultation Paper on Regulation of Cryptoassets in the Republic of Serbia -,http://www.sec.gov.rs/index.php/en/documents-en/174-consultation-paper/7115-cryptoassets-consultation-paper,regulatory
Slovenia (SMA),Position of ATVP on ICO Consultation Paper,http://www.a-tvp.si/Documents/ENG/ATVP_ICO_position_eng.pdf,regulatory
Thailand (SEC),Emergency Decree on Digital Asset Businesses B.E. 2561,https://www.sec.or.th/EN/Documents/ActandRoyalEnactment/RoyalEnactment/enactment-digitalasset2018.pdf,regulatory
Thailand (SEC),Summary of the Royal Decree on the Digital Asset Businesses B.E. 2561,https://www.sec.or.th/TH/Documents/DigitalAsset/enactment_digital_2561_summary_en.pdf,regulatory
Thailand (SEC),Public Offering of ICO (Regulatory Diagram) -,https://www.sec.or.th/EN/Pages/LawandRegulations/InitialCoinOffering.aspx,regulatory
